ticketId,customerId,customerName,subject,department,ticketType,priority,customerTier
10021,23454,"Green Brothers Ltd","Difficulty downloading file in end of months","Technical","Bug","Low","Gold"
10022,39212,"Red and Son Company","There's some photo in haystack","Finance","Bug","Low","Silver"
10023,92343,"Red Family Company","Can't open customer in end of months","Technical","Bug","Low","Bronze"
10024,01233,"Mosquito Sisters Company","Couldn't find photo that's not too large","Technical","Feature","Low","Bronze"
10025,54365,"Green Sisters Corp","Couldn't find screenshot when no dates specified","Sale","Inquiry","Low","Gold"
10026,98543,"Green Family Co","Couldn't find customer in end of months","General","Bug","Low","Bronze"
10027,92343,"Cheerful and Son Corp","Inquiry about a photo that's not too large","General","Bug","Critical","Gold"
10028,92343,"Red Family Corp","Inquiry about a screenshot in haystack","Finance","Inquiry","Urgent","Silver"
10029,98543,"Green Brothers Corp","Couldn't find needle when no dates specified","Finance","Bug","Low","Bronze"
10030,54312,"Cheerful Family Company","Inquiry about a needle in haystack","Finance","Bug","Urgent","Gold"
10031,92343,"Mosquito ,Moore Company","Difficulty downloading screenshot in haystack","Finance","Bug","Critical","Bronze"
10032,98543,"Cheerful Sisters Corp","Difficulty downloading file in haystack","Technical","Inquiry","Low","Bronze"
10033,43345,"Blue ,Moore Company","Can't open customer when no dates specified","Sale","Bug","Urgent","Silver"
10034,92343,"Green Sisters Corp","Difficulty downloading customer missing from my page","Technical","Inquiry","Urgent","Bronze"
10035,23455,"Red Family Inc","There's some needle that's not too large","General","Inquiry","Critical","Gold"
10036,01233,"Red Brothers Inc","Difficulty downloading needle missing from my page","Technical","Inquiry","Critical","Silver"
10037,54365,"Blue Brothers Corp","Difficulty downloading file that's not too large","Technical","Bug","Low","Silver"
10038,23454,"Green Family Ltd","Can't open photo that's not too large","Finance","Inquiry","Urgent","Gold"
10039,43345,"Green Brothers Corp","Inquiry about a file in haystack","General","Inquiry","Urgent","Bronze"
10040,43243,"Green and Son Co","Difficulty downloading needle in end of months","Finance","Bug","Urgent","Silver"
10041,39212,"Red Sisters Corp","Inquiry about a screenshot missing from my page","General","Bug","Low","Gold"
10042,54365,"Blue Family Inc","Inquiry about a photo that's not too large","Finance","Feature","Low","Gold"
10043,23454,"Cheerful and Son Corp","There's some customer when no dates specified","General","Inquiry","Low","Silver"
10044,12334,"Cheerful and Son Inc","There's some screenshot in haystack","Technical","Bug","Medium","Bronze"
10045,43243,"Blue Family Co","Couldn't find needle in end of months","Finance","Inquiry","Medium","Silver"
10046,54365,"Mosquito Brothers Ltd","Couldn't find needle in haystack","Finance","Inquiry","Critical","Silver"
10047,92343,"Mosquito and Son Ltd","Difficulty downloading needle that's not too large","Finance","Feature","Critical","Gold"
10048,23455,"Mosquito Brothers Company","Difficulty downloading needle when no dates specified","Sale","Inquiry","Medium","Silver"
10049,01233,"Cheerful and Son Ltd","Difficulty downloading screenshot that's not too large","Technical","Inquiry","Medium","Silver"
10050,12334,"Cheerful and Son Ltd","Can't open customer that's not too large","Sale","Inquiry","Low","Bronze"
10051,23454,"Cheerful ,Moore Company","Couldn't find needle missing from my page","General","Bug","Medium","Gold"
10052,98543,"Blue Family Co","Can't open photo in end of months","General","Feature","Urgent","Gold"
10053,43243,"Cheerful Family Company","Inquiry about a photo that's not too large","Technical","Feature","Critical","Bronze"
10054,01233,"Green Brothers Inc","There's some photo in haystack","Technical","Bug","Urgent","Silver"
10055,23454,"Blue ,Moore Ltd","Difficulty downloading customer in end of months","Sale","Feature","Critical","Gold"
10056,54312,"Cheerful Sisters Company","Can't open screenshot in end of months","Sale","Feature","Low","Silver"
10057,12334,"Mosquito and Son Inc","Inquiry about a screenshot when no dates specified","Sale","Inquiry","Critical","Bronze"
10058,54365,"Green and Son Inc","There's some file missing from my page","General","Feature","Low","Bronze"
10059,54312,"Red and Son Inc","Couldn't find file in end of months","Finance","Inquiry","Urgent","Bronze"
10060,54312,"Blue Brothers Corp","Difficulty downloading file in end of months","Technical","Bug","Medium","Silver"
10061,23454,"Mosquito ,Moore Ltd","Difficulty downloading photo missing from my page","Sale","Feature","Medium","Silver"
10062,43243,"Green Brothers Company","Difficulty downloading customer missing from my page","Finance","Bug","Critical","Gold"
10063,01233,"Blue Family Inc","There's some photo that's not too large","Finance","Bug","Urgent","Bronze"
10064,12334,"Cheerful Sisters Inc","Difficulty downloading file missing from my page","Technical","Feature","Medium","Bronze"
10065,23455,"Green Family Co","There's some customer in haystack","Sale","Bug","Critical","Silver"
10066,23455,"Mosquito ,Moore Corp","Difficulty downloading customer missing from my page","Finance","Bug","Medium","Bronze"
10067,12334,"Cheerful ,Moore Co","Inquiry about a screenshot that's not too large","Sale","Feature","Low","Bronze"
10068,12334,"Cheerful ,Moore Ltd","There's some screenshot in haystack","Sale","Feature","Urgent","Bronze"
10069,92343,"Blue and Son Corp","Couldn't find photo that's not too large","Finance","Feature","Urgent","Gold"
10070,23455,"Green Brothers Co","Couldn't find file that's not too large","Technical","Inquiry","Medium","Silver"
10071,39212,"Green and Son Inc","Inquiry about a screenshot that's not too large","Technical","Inquiry","Critical","Bronze"
10072,43243,"Blue Family Ltd","There's some file that's not too large","Sale","Bug","Critical","Bronze"
10073,98543,"Green and Son Ltd","Difficulty downloading needle in haystack","Technical","Feature","Critical","Gold"
10074,39212,"Mosquito and Son Company","There's some customer that's not too large","General","Bug","Low","Bronze"
10075,54312,"Blue Sisters Company","Couldn't find customer in haystack","General","Inquiry","Low","Gold"
10076,12334,"Green Family Co","Couldn't find customer that's not too large","Technical","Inquiry","Urgent","Silver"
10077,54312,"Green Sisters Corp","Couldn't find screenshot when no dates specified","Finance","Inquiry","Low","Gold"
10078,43345,"Blue Family Company","Difficulty downloading file missing from my page","Finance","Inquiry","Low","Silver"
10079,54312,"Cheerful Family Inc","Inquiry about a screenshot when no dates specified","Technical","Feature","Medium","Bronze"
10080,92343,"Blue and Son Inc","Couldn't find customer that's not too large","Sale","Inquiry","Medium","Bronze"
10081,12334,"Mosquito Family Company","Couldn't find screenshot when no dates specified","Finance","Feature","Low","Silver"
10082,23455,"Red and Son Co","Can't open screenshot in haystack","Technical","Inquiry","Urgent","Bronze"
10083,23454,"Green Family Inc","Can't open customer that's not too large","Sale","Inquiry","Medium","Bronze"
10084,54312,"Mosquito and Son Co","Difficulty downloading screenshot in haystack","Finance","Bug","Low","Gold"
10085,98543,"Red and Son Ltd","There's some file in end of months","General","Bug","Low","Gold"
10086,92343,"Green Sisters Co","Couldn't find needle that's not too large","Technical","Inquiry","Low","Bronze"
10087,92343,"Green Sisters Co","Difficulty downloading customer in haystack","Technical","Feature","Low","Bronze"
10088,12334,"Cheerful Sisters Company","There's some screenshot when no dates specified","Finance","Feature","Critical","Gold"
10089,12334,"Cheerful Brothers Corp","There's some photo in haystack","Technical","Feature","Critical","Bronze"
10090,12334,"Blue ,Moore Corp","Difficulty downloading customer that's not too large","General","Feature","Urgent","Silver"
10091,39212,"Blue Brothers Corp","Inquiry about a needle in haystack","Technical","Bug","Urgent","Gold"
10092,54312,"Blue ,Moore Company","There's some file missing from my page","Finance","Feature","Low","Bronze"
10093,39212,"Mosquito and Son Ltd","There's some file missing from my page","Finance","Inquiry","Urgent","Gold"
10094,54312,"Green Sisters Inc","Can't open customer in haystack","Technical","Bug","Urgent","Gold"
10095,39212,"Cheerful Sisters Co","Difficulty downloading needle missing from my page","Sale","Bug","Urgent","Silver"
10096,43243,"Red Sisters Ltd","Can't open screenshot that's not too large","Sale","Feature","Medium","Gold"
10097,23454,"Mosquito Family Corp","Difficulty downloading customer that's not too large","Technical","Bug","Medium","Silver"
10098,54312,"Green Brothers Corp","There's some customer missing from my page","Sale","Bug","Low","Gold"
10099,43243,"Mosquito Family Co","Couldn't find file that's not too large","Sale","Feature","Urgent","Bronze"
10100,23455,"Green Family Corp","There's some screenshot missing from my page","Technical","Feature","Critical","Bronze"
10101,12334,"Red and Son Ltd","Couldn't find screenshot that's not too large","Finance","Bug","Low","Gold"
10102,54365,"Mosquito Brothers Inc","Inquiry about a screenshot when no dates specified","General","Bug","Urgent","Bronze"
10103,43243,"Mosquito Family Company","Difficulty downloading photo when no dates specified","Finance","Bug","Critical","Bronze"
10104,92343,"Blue and Son Inc","There's some screenshot in end of months","Technical","Inquiry","Critical","Gold"
10105,43243,"Blue Sisters Company","Couldn't find screenshot when no dates specified","Finance","Feature","Critical","Bronze"
10106,23455,"Green and Son Inc","Difficulty downloading customer that's not too large","General","Feature","Low","Bronze"
10107,23454,"Blue and Son Inc","There's some screenshot that's not too large","Finance","Bug","Critical","Bronze"
10108,92343,"Blue Family Co","Inquiry about a needle in haystack","Sale","Feature","Low","Bronze"
10109,92343,"Blue Family Corp","There's some photo in haystack","Sale","Feature","Critical","Gold"
10110,01233,"Cheerful Sisters Ltd","Can't open photo that's not too large","Sale","Inquiry","Medium","Gold"
10111,23454,"Green ,Moore Corp","There's some photo in end of months","Technical","Bug","Low","Silver"
10112,12334,"Cheerful Sisters Ltd","Inquiry about a screenshot that's not too large","Technical","Inquiry","Critical","Bronze"
10113,39212,"Cheerful Brothers Company","Couldn't find file in end of months","General","Feature","Urgent","Bronze"
10114,43345,"Blue ,Moore Company","There's some customer in end of months","Finance","Feature","Critical","Silver"
10115,43345,"Green Family Company","Can't open file in haystack","Sale","Inquiry","Low","Gold"
10116,92343,"Green Sisters Co","Couldn't find customer missing from my page","Finance","Feature","Low","Gold"
10117,39212,"Red Brothers Corp","Can't open customer in end of months","General","Inquiry","Critical","Silver"
10118,43345,"Blue Sisters Co","There's some file missing from my page","General","Feature","Critical","Bronze"
10119,39212,"Mosquito ,Moore Co","Difficulty downloading customer when no dates specified","Finance","Bug","Urgent","Bronze"
10120,54365,"Red Brothers Ltd","There's some photo that's not too large","Sale","Feature","Urgent","Bronze"
10121,12334,"Green ,Moore Company","There's some needle in haystack","Finance","Inquiry","Medium","Gold"
10122,43345,"Mosquito Family Corp","Can't open file missing from my page","Technical","Feature","Medium","Gold"
10123,23455,"Cheerful ,Moore Corp","There's some needle in haystack","Finance","Inquiry","Critical","Silver"
10124,01233,"Green and Son Inc","Inquiry about a screenshot that's not too large","Sale","Bug","Low","Bronze"
10125,12334,"Green Brothers Inc","Difficulty downloading needle in end of months","Technical","Bug","Medium","Silver"
10126,23455,"Blue ,Moore Corp","Couldn't find file when no dates specified","Sale","Feature","Medium","Silver"
10127,98543,"Mosquito Family Corp","Inquiry about a customer when no dates specified","Finance","Feature","Critical","Silver"
10128,54365,"Green Family Inc","Couldn't find file in end of months","Technical","Bug","Urgent","Gold"
10129,23454,"Blue Sisters Co","Inquiry about a screenshot in haystack","Finance","Bug","Urgent","Gold"
10130,12334,"Red Sisters Company","Difficulty downloading customer missing from my page","Sale","Inquiry","Low","Bronze"
10131,54312,"Red ,Moore Ltd","Inquiry about a customer in haystack","Finance","Bug","Critical","Bronze"
10132,01233,"Red and Son Co","Difficulty downloading file in haystack","Sale","Inquiry","Medium","Gold"
10133,43345,"Green and Son Corp","Difficulty downloading needle when no dates specified","General","Inquiry","Critical","Gold"
10134,12334,"Blue Brothers Company","There's some customer in end of months","Technical","Bug","Urgent","Gold"
10135,54312,"Mosquito Family Company","Inquiry about a needle when no dates specified","Technical","Inquiry","Critical","Gold"
10136,23454,"Cheerful Brothers Company","Inquiry about a needle missing from my page","Technical","Feature","Critical","Gold"
10137,23455,"Green Sisters Co","There's some photo that's not too large","Sale","Inquiry","Medium","Silver"
10138,54312,"Mosquito Family Ltd","There's some file that's not too large","General","Inquiry","Critical","Bronze"
10139,01233,"Cheerful Sisters Company","There's some screenshot in end of months","Sale","Bug","Medium","Gold"
10140,98543,"Blue Family Inc","There's some file in haystack","General","Inquiry","Low","Gold"
10141,23455,"Mosquito Family Inc","Inquiry about a needle that's not too large","Sale","Bug","Critical","Bronze"
10142,43345,"Cheerful Family Corp","Inquiry about a photo when no dates specified","General","Bug","Urgent","Silver"
10143,54312,"Red ,Moore Ltd","There's some file missing from my page","Finance","Inquiry","Low","Bronze"
10144,12334,"Mosquito Family Corp","There's some customer that's not too large","General","Inquiry","Medium","Gold"
10145,12334,"Blue ,Moore Inc","There's some file in haystack","Technical","Inquiry","Urgent","Silver"
10146,98543,"Mosquito Family Co","Difficulty downloading file when no dates specified","General","Feature","Low","Silver"
10147,12334,"Green Brothers Co","Couldn't find customer when no dates specified","General","Bug","Low","Bronze"
10148,39212,"Cheerful and Son Inc","Inquiry about a screenshot in end of months","Sale","Feature","Critical","Bronze"
10149,98543,"Green Sisters Company","Can't open needle when no dates specified","Technical","Bug","Critical","Silver"
10150,23455,"Blue Brothers Corp","Inquiry about a screenshot that's not too large","Sale","Bug","Critical","Gold"
10151,54312,"Blue ,Moore Co","Difficulty downloading photo when no dates specified","Technical","Bug","Low","Bronze"
10152,54365,"Cheerful Family Co","Difficulty downloading customer in end of months","Sale","Feature","Critical","Silver"
10153,43345,"Cheerful Family Ltd","Difficulty downloading needle when no dates specified","General","Inquiry","Urgent","Bronze"
10154,92343,"Mosquito Sisters Ltd","Can't open screenshot missing from my page","General","Bug","Urgent","Silver"
10155,92343,"Mosquito Family Ltd","There's some screenshot that's not too large","Sale","Feature","Low","Silver"
10156,23454,"Mosquito ,Moore Ltd","There's some needle in haystack","Sale","Bug","Critical","Gold"
10157,54365,"Blue Family Ltd","Inquiry about a photo when no dates specified","Sale","Feature","Low","Bronze"
10158,98543,"Mosquito and Son Co","There's some needle that's not too large","Sale","Feature","Medium","Silver"
10159,92343,"Green Brothers Ltd","Couldn't find customer when no dates specified","Finance","Inquiry","Medium","Silver"
10160,43243,"Mosquito and Son Co","Couldn't find photo missing from my page","Finance","Inquiry","Low","Gold"
10161,92343,"Cheerful Brothers Company","There's some file missing from my page","Finance","Feature","Critical","Silver"
10162,43345,"Green ,Moore Co","Difficulty downloading customer in end of months","Finance","Inquiry","Urgent","Gold"
10163,54365,"Cheerful and Son Corp","Inquiry about a screenshot when no dates specified","Technical","Inquiry","Urgent","Gold"
10164,43345,"Cheerful Brothers Corp","Inquiry about a screenshot missing from my page","Sale","Inquiry","Urgent","Gold"
10165,39212,"Mosquito ,Moore Inc","There's some file missing from my page","Sale","Feature","Critical","Gold"
10166,54365,"Red Family Company","There's some customer missing from my page","Sale","Inquiry","Low","Silver"
10167,43243,"Blue and Son Ltd","There's some customer missing from my page","Sale","Feature","Low","Gold"
10168,98543,"Blue Sisters Ltd","Couldn't find screenshot in end of months","General","Feature","Medium","Silver"
10169,39212,"Red ,Moore Company","Can't open screenshot in end of months","Sale","Inquiry","Medium","Silver"
10170,43243,"Mosquito and Son Co","Difficulty downloading photo that's not too large","Technical","Feature","Critical","Silver"
10171,39212,"Cheerful ,Moore Inc","Couldn't find file that's not too large","Sale","Inquiry","Urgent","Silver"
10172,43243,"Blue Family Corp","Difficulty downloading photo when no dates specified","Sale","Feature","Urgent","Bronze"
10173,43243,"Mosquito Sisters Co","Couldn't find file in haystack","General","Bug","Critical","Gold"
10174,43243,"Mosquito ,Moore Company","There's some screenshot in end of months","General","Inquiry","Critical","Silver"
10175,43345,"Cheerful Sisters Ltd","Couldn't find customer missing from my page","Technical","Inquiry","Critical","Silver"
10176,92343,"Mosquito Family Inc","Inquiry about a needle in end of months","General","Feature","Critical","Bronze"
10177,54312,"Blue Family Inc","Couldn't find file when no dates specified","Sale","Bug","Critical","Gold"
10178,54312,"Green Sisters Ltd","Can't open needle in haystack","General","Feature","Urgent","Bronze"
10179,01233,"Blue Brothers Inc","Can't open photo that's not too large","Technical","Bug","Urgent","Gold"
10180,12334,"Cheerful Sisters Inc","Can't open needle in end of months","Finance","Feature","Critical","Gold"
10181,43345,"Mosquito Brothers Company","Inquiry about a screenshot in haystack","General","Feature","Urgent","Silver"
10182,01233,"Green ,Moore Co","Can't open customer missing from my page","Finance","Inquiry","Medium","Bronze"
10183,23455,"Green Family Co","There's some screenshot missing from my page","Sale","Feature","Critical","Bronze"
10184,43243,"Red Sisters Company","Couldn't find file missing from my page","Sale","Inquiry","Critical","Gold"
10185,23454,"Green Sisters Inc","Can't open photo in haystack","Finance","Inquiry","Low","Silver"
10186,54365,"Blue ,Moore Inc","There's some customer in end of months","Technical","Feature","Low","Gold"
10187,39212,"Red and Son Ltd","Difficulty downloading needle when no dates specified","Sale","Feature","Low","Gold"
10188,98543,"Cheerful Family Ltd","Can't open file that's not too large","General","Bug","Medium","Gold"
10189,12334,"Green Sisters Company","Can't open photo that's not too large","Technical","Inquiry","Medium","Bronze"
10190,39212,"Cheerful ,Moore Inc","Inquiry about a needle in haystack","Finance","Bug","Medium","Gold"
10191,23455,"Green Sisters Ltd","Can't open photo in end of months","Finance","Inquiry","Critical","Silver"
10192,43345,"Blue and Son Company","There's some photo in end of months","Technical","Inquiry","Medium","Silver"
10193,98543,"Blue Sisters Inc","Difficulty downloading screenshot in haystack","General","Feature","Low","Gold"
10194,54365,"Cheerful and Son Inc","Can't open needle that's not too large","Technical","Feature","Critical","Silver"
10195,23455,"Green Sisters Company","There's some file missing from my page","Sale","Feature","Critical","Gold"
10196,43345,"Green ,Moore Company","Inquiry about a screenshot that's not too large","Technical","Feature","Urgent","Gold"
10197,43243,"Red Brothers Inc","Can't open customer when no dates specified","Finance","Feature","Low","Bronze"
10198,01233,"Cheerful and Son Company","Difficulty downloading file in haystack","Sale","Inquiry","Urgent","Gold"
10199,43345,"Mosquito Family Ltd","Can't open screenshot in end of months","General","Bug","Low","Silver"
